0,1,2,3,4,5
Linear,Ridge,Lasso,ElasticNet,KNN,DecisionTree
2.7389285564422607,0.06240344047546387,2.6076772212982178,5.98521089553833,0.2814030647277832,0.20121455192565918
2.630601076510846e-22,24217.821015291604,8307.083167315472,204799.52477092153,0.0,547229.7566666667
21107859.180193335,23330993.968793415,33318519.692536224,2248840.5645027724,2491447.1953176563,3431979.3140170844
93161016.37751244,74543053.97896104,28881710.275682706,25064391.81243027,1997494.423770386,3047344.7864833437
1.6219127832626653e-11,155.62076023234047,91.14320143222682,452.5478149001733,0.0,739.7497932859912
4594.329023937373,4830.216762091885,5772.219650406265,1499.6134716995484,1578.4318785800217,1852.5602052341198
9651.995460914413,8633.831940625265,5374.170659337374,5006.435040268701,1413.327429780653,1745.6645687197022
1.2770442481269128e-11,120.18666814708249,70.73565328291838,360.47242820514,0.0,577.1204761904762
3677.1241615084914,3897.209410951686,4528.763578877324,1257.1250402284486,1276.3082677021116,1546.2808441558443
9041.057767119415,7987.243490571851,4180.5109878433195,4009.4451218939776,1105.81501926168,1474.7594537815128
1.0,0.999438365782655,0.9998073508698347,0.9952505049593555,1.0,0.9873092234062135
-19.276621806308373,-21.412208506412473,-31.00642079257073,-1.1602801705203576,-1.3933328386636088,-2.296826362319927
-105.78345180505663,-84.44308468800182,-32.10492776048568,-27.72942330598873,-1.289577312759346,-2.4929416594405303
